wall_time,step,value
1779418019.795844,1,2.1335999965667725
1779418046.589716,10,2.022700071334839
1779418076.4123085,20,1.0154000520706177
1779418134.7315724,30,0.659500002861023
1779418164.8671281,40,0.5738000273704529
1779418195.0311599,50,0.5177000164985657
1779418253.1645644,60,0.47350001335144043
1779418283.365245,70,0.42179998755455017
1779418342.0597982,80,0.4131999909877777
1779418372.3765135,90,0.3531000018119812
1779418402.9004369,100,0.3743000030517578
1779418498.166541,110,0.3303999900817871
1779418528.4322097,120,0.3555999994277954
1779418587.246441,130,0.321399986743927
1779418617.3325608,140,0.3084999918937683
1779418647.2759879,150,0.3089999854564667
1779418705.7671406,160,0.29280000925064087
1779418735.8284733,170,0.2689000070095062
1779418794.2830036,180,0.29429998993873596
1779418824.198866,190,0.3172000050544739
1779418854.4191482,200,0.3041999936103821
1779418949.319202,210,0.2782000005245209
1779418980.1795328,220,0.31060001254081726
1779419038.402585,230,0.2671999931335449
1779419068.7408538,240,0.28029999136924744
1779419098.7687583,250,0.2662999927997589
1779419157.512764,260,0.2750000059604645
1779419188.0450752,270,0.25279998779296875
1779419246.7107575,280,0.31060001254081726
1779419276.9368436,290,0.25690001249313354
1779419307.2477465,300,0.2782000005245209
