wall_time,step,value
1779418019.7960126,1,0.003329171799123287
1779418046.5898733,10,0.03329171985387802
1779418076.4123995,20,0.06658343970775604
1779418119.846223,25,0.08322929590940475
1779418134.7316592,30,0.09987515956163406
1779418164.8672185,40,0.13316687941551208
1779418195.0312488,50,0.1664585918188095
1779418223.4479477,50,0.1664585918188095
1779418253.1646473,60,0.19975031912326813
1779418283.3653362,70,0.23304203152656555
1779418326.8255358,75,0.24968789517879486
1779418342.0598886,80,0.26633375883102417
1779418372.3765981,90,0.2996254563331604
1779418402.9005387,100,0.332917183637619
1779418431.365862,100,0.332917183637619
1779418498.1666281,110,0.36620891094207764
1779418528.4323022,120,0.39950063824653625
1779418572.237819,125,0.41614648699760437
1779418587.246547,130,0.4327923357486725
1779418617.332645,140,0.4660840630531311
1779418647.2760754,150,0.4993757903575897
1779418675.7055879,150,0.4993757903575897
1779418705.7672253,160,0.5326675176620483
1779418735.8285835,170,0.5659592151641846
1779418779.254838,175,0.5826050639152527
1779418794.2831156,180,0.5992509126663208
1779418824.1989655,190,0.6325426697731018
1779418854.4192338,200,0.665834367275238
1779418882.9302797,200,0.665834367275238
1779418949.319306,210,0.6991260647773743
1779418980.1796167,220,0.7324178218841553
1779419023.4947202,225,0.7490636706352234
1779419038.4026654,230,0.7657095193862915
1779419068.7409365,240,0.7990012764930725
1779419098.7688417,250,0.8322929739952087
1779419127.1314988,250,0.8322929739952087
1779419157.5128508,260,0.865584671497345
1779419188.0451782,270,0.898876428604126
1779419231.4603057,275,0.9155222773551941
1779419246.7108417,280,0.9321681261062622
1779419276.9369378,290,0.9654598236083984
1779419307.2478285,300,0.9987515807151794
1779419335.709951,300,0.9987515807151794
